"ID","Тип объе-кта","Улица","Номер дома","Кол-во комнат"
"314","Изолированная","Блюхераул.(Валентиновская)","11","2"
"889","Изолированная","Примеровская","16","2"
"3637","Изолированная","Астрономическая","11","2"
"3810","Изолированная","Звездная","4","4"
"9538","Изолированная","Мироносицкая","54В","5"
"10256","Изолированная","Сумская","77/79","4"
"10495","Изолированная","Саммеровскийпер.(ЛюдмилыГурченкопер.)","","4"
"11480","Изолированная","Пушкинская","67","3"
"11553","Изолированная","Кузнечная","25","3"
"12198","Изолированная","Чернышевского","","3"
"12271","Изолированная","Белостокскийпер.","22","2"
"13438","Изолированная","Тепличная","1/1","1"
"16212","Изолированная","Гражданская","7","3"
"16820","Изолированная","Сумская","46","7"
"17774","Изолированная","Мироносицкая","10","3"
"18319","Изолированная","Лермонтовская","","4"
"18707","Изолированная","Старошишковскаяул.","","3"
"18795","Изолированная","Красина","5","4"
"20531","Изолированная","Дача№55","","2"
"21254","Изолированная","ГвардейцевШиронинцевул.","111","3"
